,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,CANCHA DE USOS MÚLTIPLES CON RECUBRIMIENTO ACRÍLICO,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1020,"Trazo y nivelación con equipo topográfico, en terreno inclinado. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,633.75
A0102,DESPALMES,,
UEC.ED.10.100.1055,"Despalme de terreno tipo B, con equipo mecánico, a 30 cm de profundidad. Incluye: carga y retiro de material fuera de la obra.",m2,633.75
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.110.1050,"Excavación con equipo en caja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en caja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,380.25
A0202,CARGAS Y ACARREOS,,
UEC.ED.14.120.1063,"Acarreo en camión de material producto del despalme al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,247.16
UEC.ED.14.135.1050,Acarreo en camión de material producto del despalme en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"1,235.80"
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,494.33
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"2,471.65"
A0203,MEJORAMIENTOS,,
UEC.ED.12.135.1050,"Compactación de terreno natural al 90% de su P.V.S.M., por medios mecánicos, incluye: incorporación de agua.",m2,633.75
UEC.ED.12.140.1005,"Mejoramiento de terreno a base de cal hidratada a razón de 6 kg/m2 ( 30 kg/m3) a 20 cm de profundidad. Incluye: escarificado, hidratado, mezclado, nivelado y compactado con equipo al 90% de su PVSM.",m3,633.75
A0204,RELLENOS,,
UEC.ED.12.125.1425,"Relleno mecánico en caja con material calidad de sub-base, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,253.50
UEC.ED.12.125.1440,"Relleno mecánico en caja con material calidad de base, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,126.75
A03,ALBAÑILERÍA/CONSTRUCTIVO,,
A0301,FIRMES,,
UEC.ED.30.295.1055,"Muerto a base de concreto f'c= 150 kg/cm2, tma 19 mm. Incluye: excavación a mano, afine de fondo y talud, desperdicios, colado, curado, vibrado, movimiento del material dentro de la obra y limpieza.",m3,1.09
UEC.OE.10.145.1010,"Casquillo metálico a base de tubo de acero negro (OC IMCA), ASTM A53, ahogado en muerto de concreto. Incluye: dimensionamiento, cortes, primario de taller, presentación y fijación.",kg,8.04
UEC.UB.10.140.1010,"Pasajunta a base de varilla de acero del No. 4 (1/2""). Incluye: dimensionamiento y corte.",kg,225.44
UEC.ED.30.105.1010,"Piso de 10 cm de espesor de concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm, armado con malla electrosoldada 6,6 / 10-10, terminado pulido. Incluye: compactación de terreno, trazo, habilitados de malla, separadores, cimbra en fronteras, curado y limpieza.",m2,618.24
UEC.UB.10.150.1010,"Corte con disco hasta 1 cm de profundidad en pavimento de concreto hidráulico. Incluye: trazo, guía y limpieza.",m,577.80
CAUMU.10.UOE.1001,"Sellado en uniones de concreto colocando doble membrana de refuerzo de poliester tejida de 27.5 cm de ancho, pegada con resina en emulsión estireno-acrílica con viscosidad alta y alto contenido de sólidos, especificación de acuerdo a proyecto. Incluye: preparación de la superficie, dimensionamiento y limpieza.",m,475.00
A0302,GUARNICIONES Y BANQUETAS,,
UEC.UB.10.110.1030,"Guarnición trapezoidal de 15x20x40 cm elaborada a base de concreto fabricado en obra f'c 150 kg/cm2, tma 19 mm (3/4""), armada con medio castillo electrosoldado acabado pulido, incluye: habilitado, cortes, empalmes y amarrado con alambre de acero, dobleces, ganchos, anclajes, trazo, preparación de la superficie, alineado, cimbra metálica, cortes con disco de 3 cm de profundidad a cada 2.30 o 2.40 m según sea el sentido de la cancha, colado, vibrado, curado, retiro de cimbra y limpieza.",m,103.60
UEC.ED.18.115.1030,"Sistema de calafateo para juntas de entre 6 y 12 mm a base de espuma de polietileno de baja densidad SIKAROD y sellador elástico SIKAFLEX -1CSL marca SIKA o similar en calidad, costo y garantía. Incluye: Preparación, limpieza y presentación.",m,102.80
A0303,CERCADOS,,
UEC.ED.30.295.1055,"Muerto a base de concreto f'c= 150 kg/cm2, tma 19 mm. Incluye: excavación a mano, afine de fondo y talud, desperdicios, colado, curado, vibrado, movimiento del material dentro de la obra y limpieza.",m3,0.25
UEC.ED.18.102.1015,"Cimbra de madera acabado común para castillos, dalas, cadenas y cerramientos. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,43.80
UEC.ED.18.105.1005,"Concreto fabricado en obra f´c = 150 kg/cm2, tma = 19 mm (3/4""), RN, en castillos, dalas, cerramientos, cadenas y repizones. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,3.29
UEC.OE.18.100.1075,"Malla ciclónica galvanizada calibre 10.5 con abertura de 63 x 63 mm, barra superior e intermedia a base de tubo galvanizado cédula 30 de 1 1/2"" (38 mm), postes de línea a base de tubo galvanizado cédula 30 de 1 7/8"" (48 mm) a cada 2.00 m, postes esquineros y cargadores a base de tubo galvanizado cédula 30 de 2 3/8"" (60 mm), hasta 2.00 m de altura. Incluye: trazo, presentación, anclaje de postes a muerto, malla ahogada en cadena, nivelación y plomeo.",m2,219.00
UEC.OE.18.100.1020,"Puerta de acceso de malla ciclónica de 2.00 x 2.00m, dos hojas abatibles de 1.00 x 2.00m hechas a base de malla ciclónica galvanizada calibre 10.5 con abertura de 63 x 63mm, barra superior fija, marco e intermedios de las hojas a base de tubo galvanizado calibre 20 de 1 1/2"" (38mm). Incluye: bisagras, pasador horizontal y vertical, candado, nivelación y plomeo.",Pieza,1.00
A0304,RAMPAS,,
UEC.ED.12.125.1221,"Relleno semi-mecánico en caja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,1.20
UEC.ED.16.170.1025,"Muro de enrase 14 cm de espesor, con tabique de barro de 7 x 14 x 28 cm, asentado y junteado con mortero cemento-arena proporción 1:4. Incluye: trazo, nivelación, plomeado y limpieza.",m2,1.20
UEC.ED.18.100.1105,"Acero de refuerzo del No. 2 (1/4""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.0032
UEC.ED.18.100.1110,"Acero de refuerzo del No. 3 (3/8""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.05
UEC.ED.18.102.1015,"Cimbra de madera acabado común para castillos, dalas, cadenas y cerramientos. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,2.40
UEC.ED.18.105.1015,"Concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm (3/4""), RN, en castillos, dalas, cerramientos, cadenas y repizones. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,0.18
UEC.ED.30.105.1050,"Piso de 10 cm de espesor de concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm, armado con malla electrosoldada 6,6 / 10-10, terminado escobillado. Incluye: compactación de terreno, trazo, habilitados de malla, separadores, cimbra en fronteras, curado y limpieza.",m2,0.30
A04,ACABADOS,,
A0401,ACABADOS DE PISO,,
CAUMU.10.UOE.1002,"Membrana de refuerzo de poliester tejida sobre superficie de concreto pegada con resina en emulsión estireno-acrílica con viscosidad alta y alto contenido de sólidos, especificación de acuerdo a proyecto. Incluye: preparación de la superficie, traslapes, dimensionamiento y limpieza.",m2,618.24
