,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,TECHADO CANCHA DE USOS MÚLTIPLES,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1015,"Trazo y nivelación con equipo topográfico, en terreno plano. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,751.08
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.105.1020,"Excavación manual en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,77.98
A0202,MEJORAMIENTOS,,
UEC.ED.12.140.1001,"Mejoramiento de terreno a base de cal hidratada a razón de 1.5 kg/m2 ( 7.5 kg/m3) a 20 cm de profundidad. Incluye: escarificado, hidratado, mezclado, nivelado y compactado con equipo al 90% de su PVSM.",m3,8.66
A0203,RELLENOS,,
UEC.ED.12.125.1205,"Relleno semi-mecánico en zanja con material de calidad de sub-base, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,17.33
UEC.ED.12.125.1115,"Relleno semi-mecánico en zanja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,60.65
A0204,CARGAS Y ACARREOS,,
UEC.ED.14.115.1060,"Acarreo en carretilla de material producto de excavación a una distancia máxima de 100 m. Incluye: carga, transporte y descarga.",m3,101.37
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,101.37
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,506.85
A03,CIMENTACIÓN,,
A0301,PLANTILLAS,,
UEC.ED.16.100.1010,"Plantilla de 5 cm de espesor, a base de concreto fabricado en obra f'c = 100 kg/cm2, tma 19 mm (3/4""), incluye: mezcla, vaciado y limpieza.",m2,20.28
A0302,HABILITADO DE ACERO DE REFUERZO EN CIMENTACIÓN,,
UEC.ED.16.105.1015,"Acero de refuerzo del No. 3 (3/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.27
UEC.ED.16.105.1025,"Acero de refuerzo del No. 5 (5/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.27
A0303,CIMBRA EN CIMENTACIÓN,,
UEC.ED.16.110.1015,"Cimbra acabado común en cimentación a base de madera de pino de 3ra., incluye: dimensionamiento, cortes, armado, lubricado, alambres, torzales, separadores, andamiaje, obra falsa necesaria, descimbrado, limpieza retiro de sobrantes del frente de trabajo.",m2,30.84
A0304,CONCRETOS EN CIMENTACIÓN,,
UEC.ED.16.115.1010,"Concreto fabricado en obra f´c = 250 kg/cm2, tma = 19 mm (3/4""), RN, en cimentación. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,5.15
A04,ESTRUCTURA ,,
A0401,ACERO ESTRUCTURAL,,
UEC.ED.22.120.1120,"Columna a base de perfil comercial HSS, ASTM A500 Grado B. Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",kg,"2,093.08"
UEC.ED.22.100.1110,"Base para columna fabricada de placa de acero estructural ASTM A36. Incluye: planos de taller, dimensionamiento, cortes, perfilado y barrenos.",kg,247.46
UEC.ED.22.110.1115,"Ancla de acero redondo 19.1 mm (3/4""), doblada en L, con rosca estándar con tuerca estructural hexagonal y arandela de seguridad. Incluye: planos de taller, fabricación, embebido,  torque especificado y limpieza.",kg,85.83
A0402,ADITIVOS EN ESTRUCTURA,,
UEC.ED.30.200.1010,"Mortero nivelante grout entre superficie de concreto hidráulico y placa de acero marca FESTER catalogo FESTERGROUT o similar en calidad, costo y garantía, curado de áreas expuestas. Incluye: preparación, inyección, fraguado, corte de cantos, aplicación de protector, limpieza. Norma CRD-21 Y ASTM C1107.",cm3,"44,100.00"
A05,SUPERESTRUCTURA ,,
A0501,ACERO ESTRUCTURAL,,
