,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,AULA AISLADA DE 2.00 E.E. EN ESTRUCTURA U-1C,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1010,"Trazo y nivelación de terreno, para superficies menores de 300 m2, con equipo topográfico para desplante de estructuras, estableciendo ejes y referencias, incluye: limpieza, deshierbe, estacas, bancos de nivel.",m2,92.18
A0102,DESPALMES,,
UEC.ED.10.100.1015,"Despalme de terreno tipo B, por medios manuales, a 20 cm de profundidad. Incluye: carga y retiro de material fuera de la obra.",m2,92.18
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.110.1050,"Excavación con equipo en caja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en caja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,55.31
UEC.ED.12.110.1015,"Excavación con equipo en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,27.35
A0202,AFINES Y COMPACTACIONES,,
UEC.ED.12.135.1010,"Compactación de terreno natural al 90% de su P.V.S.M., por medios semi-mecánicos, incluye: incorporación de agua.",m2,92.18
A0203,RELLENOS,,
UEC.ED.12.125.1210,"Relleno semi-mecánico en zanja con material de calidad de sub-base, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,13.14
UEC.ED.12.125.1105,"Relleno semi-mecánico en zanja con material producto de excavación, compactado al 90% de su PVSM en capas de 20 cm. Incluye: limpieza, selección, abundamiento, acarreo de material e incorporación de agua para compactar.",m3,11.03
UEC.ED.12.125.1221,"Relleno semi-mecánico en caja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,103.20
A0204,CARGAS Y ACARREOS,,
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,114.24
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,571.20
A03,CIMENTACIÓN ,,
A0301,PLANTILLAS,,
UEC.ED.16.100.1010,"Plantilla de 5 cm de espesor, a base de concreto fabricado en obra f'c = 100 kg/cm2, tma 19 mm (3/4""), incluye: mezcla, vaciado y limpieza.",m2,23.74
A0302,HABILITADO DE ACERO DE REFUERZO EN CIMENTACIÓN,,
UEC.ED.16.105.1015,"Acero de refuerzo del No. 3 (3/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.44
UEC.ED.16.105.1020,"Acero de refuerzo del No. 4 (1/2""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.02
UEC.ED.16.105.1025,"Acero de refuerzo del No. 5 (5/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.23
UEC.ED.16.105.1030,"Acero de refuerzo del No. 6 (3/4""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.10
A0303,CIMBRA EN CIMENTACIÓN,,
UEC.ED.16.110.1015,"Cimbra acabado común en cimentación a base de madera de pino de 3ra., incluye: dimensionamiento, cortes, armado, lubricado, alambres, torzales, separadores, andamiaje, obra falsa necesaria, descimbrado, limpieza retiro de sobrantes del frente de trabajo.",m2,49.00
A0304,CONCRETOS EN CIMENTACIÓN,,
UEC.ED.16.120.1015,"Concreto premezclado en cimentación, f´c = 250 kg/cm2, no bombeable tiro directo, Clase 1 estructural, Rev. 10 cm +/- 2.50 cm, tma = 19 mm, pvf > 2.20 t/m3. Incluye: dosificación de agregados, mezclado, transporte, vaciado y curado.",m3,7.73
A0305,ENRASES,,
UEC.ED.16.105.1010,"Acero de refuerzo del No. 2 (1/4""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.03
UEC.ED.16.105.1015,"Acero de refuerzo del No. 3 (3/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.08
UEC.ED.16.110.1015,"Cimbra acabado común en cimentación a base de madera de pino de 3ra., incluye: dimensionamiento, cortes, armado, lubricado, alambres, torzales, separadores, andamiaje, obra falsa necesaria, descimbrado, limpieza retiro de sobrantes del frente de trabajo.",m2,15.78
UEC.ED.16.115.1005,"Concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm (3/4""), RN, en cimentación. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,1.16
UEC.ED.16.170.1010,"Muro de enrase, en cimentación, con tabicón macizo de 10x14x28 cm de 14 cm de espesor, asentado y junteado con mortero cemento-arena con una proporción 1:3, incluye: trazo, nivelación, plomeado y limpieza.",m2,12.00
