,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,TECHADO 21.40x34.50 M,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1015,"Trazo y nivelación con equipo topográfico, en terreno plano. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,872.16
A0102,DESPALMES,,
UEC.ED.10.100.1025,"Despalme de terreno tipo B, con equipo mecánico, a 20 cm de profundidad. Incluye: carga y retiro de material fuera de la obra.",m2,74.06
A0103,LETRERO INFORMATIVO,,
UEC.ED.94.115.1010,"Letrero normativo de obra de 2.00 x 2.00 m a base de lona impresa reforzada, incluye: colocación y permanencia.",Pieza,1.00
TECHADO.IE.01,"Logotipo representativo de gobierno del estado de 80 x 80 cm, marco y 2 refuerzos intermedios de perfil cuadrado C-150 cal.18, tablero de lámina lisa galvanizada calibre 26, soldado a monten en lecho inferior de la cumbrera, a una altura de 6.00 m, incluye: rotulado con pintura de esmalte, soldadura, una mano de primer anticorrosivo, dos capas de pintura esmalte de primera calidad, andamiaje y limpieza.",Pieza,1.00
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.110.1015,"Excavación con equipo en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,148.12
A0202,AFINES Y COMPACTACIONES,,
UEC.ED.12.135.1010,"Compactación de terreno natural al 90% de su P.V.S.M., por medios semi-mecánicos, incluye: incorporación de agua.",m2,74.06
A0203,RELLENOS,,
UEC.ED.12.125.1210,"Relleno semi-mecánico en zanja con material de calidad de sub-base, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,29.62
UEC.ED.12.125.1205,"Relleno semi-mecánico en zanja con material de calidad de sub-base, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,113.07
A0204,CARGAS Y ACARREOS,,
UEC.ED.14.115.1060,"Acarreo en carretilla de material producto de excavación a una distancia máxima de 100 m. Incluye: carga, transporte y descarga.",m3,211.81
UEC.ED.14.130.1010,"Acarreo a estación subsecuente de 20 m en carretilla del material producto de la excavación y/o demolición, en terreno plano, incluye: abundamiento.",m3-est,211.81
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,211.81
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"1,059.05"
A03,CIMENTACIÓN,,
A0301,PLANTILLAS,,
UEC.ED.16.100.1010,"Plantilla de 5 cm de espesor, a base de concreto fabricado en obra f'c = 100 kg/cm2, tma 19 mm (3/4""), incluye: mezcla, vaciado y limpieza.",m2,56.00
A0302,HABILITADO DE ACERO DE REFUERZO EN CIMENTACIÓN,,
UEC.ED.16.105.1015,"Acero de refuerzo del No. 3 (3/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.71
UEC.ED.16.105.1025,"Acero de refuerzo del No. 5 (5/8""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.93
UEC.ED.16.105.1030,"Acero de refuerzo del No. 6 (3/4""), en cimentación. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.39
A0303,CIMBRA EN CIMENTACIÓN,,
UEC.ED.16.110.1015,"Cimbra acabado común en cimentación a base de madera de pino de 3ra., incluye: dimensionamiento, cortes, armado, lubricado, alambres, torzales, separadores, andamiaje, obra falsa necesaria, descimbrado, limpieza retiro de sobrantes del frente de trabajo.",m2,50.26
A0304,CONCRETOS EN CIMENTACIÓN,,
UEC.ED.16.115.1010,"Concreto fabricado en obra f´c = 250 kg/cm2, tma = 19 mm (3/4""), RN, en cimentación. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,17.44
A04,ESTRUCTURA ,,
A0401,ACERO ESTRUCTURAL,,
UEC.ED.22.110.1115,"Ancla de acero redondo 19.1 mm (3/4""), doblada en L, con rosca estándar con tuerca estructural hexagonal y arandela de seguridad. Incluye: planos de taller, fabricación, embebido,  torque especificado y limpieza.",Kg,106.15
UEC.ED.22.100.1110,"Base para columna fabricada de placa de acero estructural ASTM A36. Incluye: planos de taller, dimensionamiento, cortes, perfilado y barrenos.",Kg,346.40
UEC.ED.22.120.1120,"Columna a base de perfil comercial HSS, ASTM A500 Grado B. Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",kg,"2,963.52"
