,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,CANCHA DE FÚTBOL SOCCER PRÁCTICAS CON PASTO SINTÉTICO ,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1015,"Trazo y nivelación con equipo topográfico, en terreno plano. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,"6,079.36"
A0102,DESPALMES,,
UEC.ED.10.100.1025,"Despalme de terreno tipo B, con equipo mecánico, a 20 cm de profundidad. Incluye: carga y retiro de material fuera de la obra.",m2,"6,079.36"
A0103,LETRERO INFORMATIVO,,
UEC.ED.94.115.1050,"Letrero informativo de obra de 0.80 x 1.20 m, marco y soportes de 2.50 m de altura a base de PTR calibre 14 de 2"" x 2"" (51 x 51mm) y tablero de lámina lisa galvanizada calibre 18. Incluye: aplicación de primer anticorrosivo, dos capas de pintura esmalte blanco de primera calidad, 2 muertos de concreto f´c = 150 kg/cm2 para empotre de 0.20 x 0.20 x 0.40 m y rotulación con pintura esmalte.",Pieza,1.00
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.110.1050,"Excavación con equipo en caja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en caja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,"1,823.81"
A0202,CARGAS Y ACARREOS,,
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,"3,951.58"
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"19,757.90"
A0203,MEJORAMIENTOS,,
UEC.ED.12.140.1050,"Escarificado de terreno natural a 20 cm de profundidad. Incluye: hidratado, mezclado, nivelado y compactado con equipo al 90% de su PVSM.",m2,"6,079.36"
UEC.ED.12.140.1005,"Mejoramiento de terreno a base de cal hidratada a razón de 6 kg/m2 ( 30 kg/m3) a 20 cm de profundidad. Incluye: escarificado, hidratado, mezclado, nivelado y compactado con equipo al 90% de su PVSM.",m3,"1,215.87"
A0204,RELLENOS,,
UEC.ED.12.125.1425,"Relleno mecánico en caja con material calidad de sub-base, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,"1,823.81"
UEC.ED.12.125.1440,"Relleno mecánico en caja con material calidad de base, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N-CTR-CAR-1-01-011/20.",m3,"1,215.87"
UEC.IV.16.115.1005,"Riego de impregnación con emulsiones asfálticas ECR-60 de rompimiento rápido al 60%, por unidad de obra terminada. N·CTR·CAR·1·04·004/15.",L,"12,011.32"
UEC.OE.22.105.1010,"Geotextil no tejido, a base de fibras de polipropileno 140 g/m2. Incluye: dimensionamiento, cortes, presentación, traslapes y fijación.",m2,"6,005.66"
UEC.IV.16.115.1015,"Arena para proteger el riego de impregnación, por unidad de obra terminada. N·CTR·CAR·1·04·004/15",m3,11.66
UEC.OE.20.110.1020,"Base filtro a base de grava triturada de 1 1/2"", en capas de hasta 20 cm, tendida, acomodada y compactada por medios manuales. Incluye: selección del material, abundamiento, acarreo de material y tiro en zona de relleno.",m3,481.28
UEC.OE.22.105.1015,"Geotextil no tejido, a base de fibras de polipropileno 200 g/m2. Incluye: dimensionamiento, cortes, presentación, traslapes y fijación.",m2,"6,016.00"
UEC.OE.20.110.1010,"Base filtro a base de gravilla triturada fina de 1/2"" a 3/4"", proporción 50 -50, homogenizada, en capas de hasta 20 cm,  tendida, acomodada y compactada por medios mecánicos. Incluye: selección del material, abundamiento, acarreo de material y tiro en zona de relleno.",m3,300.80
FUTSP.12.UED.1001,"Relleno manual en zanja con material inerte, compactado con pizón de mano, en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,31.60
A03,INSTALACIÓN PLUVIAL,,
A0301,OBRA CIVIL,,
UEC.IH.18.130.1010,"Excavación manual en zanja en material tipo B en seco, de 0.00 a 2.00 m de profundidad, para tuberías. Incluye: delimitación de la zona, afloje y extracción del material, afine de taludes, fondo y conservación de la zanja hasta la instalación de la tubería, carga y acarreo libre a 20 m, de conformidad con las Especificaciones de Construcción.",m3,134.84
UEC.IH.18.140.1015,"Plantilla con arena a cualquier profundidad, para obra hidráulica, en capas de hasta 15 cm. Incluye: selección del material, carga, acarreo, tiro en zona de relleno, de conformidad con las Especificaciones de Construcción.",m3,11.34
UEC.OE.20.110.1020,"Base filtro a base de grava triturada de 1 1/2"", en capas de hasta 20 cm, tendida, acomodada y compactada por medios manuales. Incluye: selección del material, abundamiento, acarreo de material y tiro en zona de relleno.",m3,111.72
UEC.OE.22.110.1015,"Geomembrana a base de polietileno de alta densidad, 1.00 mm de espesor. Incluye: dimensionamiento, cortes, presentación y fijación.",m2,545.37
A0302,TUBERÍA Y PIEZAS ESPECIALES,,
