,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A ,ESPACIOS PÚBLICOS (PLAZA),,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1015,"Trazo y nivelación con equipo topográfico, en terreno plano. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,"1,839.10"
A02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.110.1050,"Excavación con equipo en caja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en caja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,246.31
A0202,CARGAS Y ACARREOS,,
UEC.ED.14.120.1065,"Acarreo en camión de material producto de demolición al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,320.21
UEC.ED.14.135.1055,Acarreo en camión de material producto de demolición en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"1,601.05"
A03,ACABADOS,,
A0301,PISOS (PLAZAS Y ANDADORES),,
UEC.ED.12.140.1005,"Mejoramiento de terreno a base de cal hidratada a razón de 6 kg/m2 ( 30 kg/m3) a 20 cm de profundidad. Incluye: escarificado, hidratado, mezclado, nivelado y compactado con equipo al 90% de su PVSM.",m3,920.40
UEC.ED.12.125.1424,"Relleno mecánico en caja con material inerte, compactado al 95% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,480.30
UEC.UB.10.100.1055,"Capa Subrasante, con material procedente de banco, compactada al 95 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·01·009/16.",m3,920.40
UEC.UB.10.100.1155,"Capa Base Hidráulica, con material producto de la trituración de roca sana, procedente de banco, compactada al 100 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·04·002/11.",m3,920.40
UEC.UB.10.103.1050,"Cimbra metálica para banquetas y losas. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,22.25
UEC.ED.18.100.1305,"Malla electrosoldada 6 x 6 - 10 / 10 para armado de firmes, pisos o capas de compresión. Incluye: dimensionamiento, cortes, silletas, traslapes y amarre con alambre.",m2,194.17
UEC.ED.18.100.1310,"Malla electrosoldada 6 x 6 - 8 / 8 para armado de firmes, pisos o capas de compresión. Incluye: dimensionamiento, cortes, silletas, traslapes y amarre con alambre.",m2,40.05
UEC.UB.10.115.1110,"Losa de concreto hidráulico con f´c = 150 kg/cm², tiro directo, revenimiento 10 ± 2.5 cm, tamaño máximo de agregado 19 mm, resistencia normal. Incluye: colado, vibrado, curado y limpieza. N.CTR.CAR.1.04.009/20.",m3,15.54
UEC.UB.10.115.1115,"Losa de concreto hidráulico con f´c = 200 kg/cm², tiro directo, revenimiento 10 ± 2.5 cm, tamaño máximo de agregado 19 mm, resistencia normal. Incluye: colado, vibrado, curado y limpieza. N.CTR.CAR.1.04.009/20.",m3,3.21
UEC.UB.10.200.1025,"Acabado oxidado sobre concreto hidráulico. Incluye: trazo, preparación de la superficie, dilución, oxidante de concreto, barniz sellador, aplicación con aspersor y limpieza.",m2,194.17
UEC.UB.10.200.1020,"Acabado pulido rayado con brocha de pelo sobre concreto hidráulico. Incluye: trazo, delimitación de la superficie y limpieza.",m2,234.22
UEC.UB.10.123.1015,"Piso de adocreto de 6 cm de espesor, asentado sobre cama de arena de 5 cm, emboquillado de juntas arena fina. Incluye: trazo, nivelación, compactación del terreno al 95% de su PVSM, ajustes, cortes, desperdicios y limpieza.",m2,73.59
A0302,ELEMENTOS DE ORNATO,,
UEC.ED.30.135.1110,"Muro de 14 cm de espesor construido con tabique de barro 7 x 14 x 28 cm, asentado con mortero cemento-arena proporción 1:4 con junta de 1 cm acabado común, hasta 3.50 m de altura. Incluye: trazo, nivelación, plomeado, andamiaje y limpieza.",m2,57.75
UEC.ED.18.105.1010,"Concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm (3/4""), RN, en estructura. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,16.82
UEC.ED.16.110.1015,"Cimbra acabado común en cimentación a base de madera de pino de 3ra., incluye: dimensionamiento, cortes, armado, lubricado, alambres, torzales, separadores, andamiaje, obra falsa necesaria, descimbrado, limpieza retiro de sobrantes del frente de trabajo.",m2,214.09
UEC.ED.30.205.1421,"Aplanado de 2 cm de espesor a base de mortero cemento-arena proporción 1:4 acabado pulido, con impermeabilizante integral de primera calidad a razón de 2 kg por cada 50 kg de cemento, en muro a 3.50 m de altura. Incluye: preparación de la superficie, mezcla, aplicación, plomeado, andamiaje y limpieza.",m2,25.81
UEC.ED.78.145.1010,"Pintura vinílica primera calidad sobre  muro con superficie fina hasta 3.50 m de altura. Incluye: preparación de la superficie, aplicación de sellador 5 x 1, dilución y aplicación a dos manos hasta cubrir perfectamente la superficie, andamiaje y limpieza.",m2,25.81
A0303,MOBILIARIO URBANO,,
UEC.ED.30.295.1050,"Muerto a base de concreto f'c= 100 kg/cm2, tma 19 mm. Incluye: excavación a mano, afine de fondo y talud, desperdicios, colado, curado, vibrado, movimiento del material dentro de la obra y limpieza.",m3,1.88
