,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
A,ARROYO Y GUARNICIONES,,
A01,PRELIMINARES,,
A0101,TRAZO Y NIVELACION,,
UEC.ED.12.100.1015,"Trazo y nivelación con equipo topográfico, en terreno plano. Incluye trabajos en sitio, mojoneras, referencias de nivel y planos de trazo.",m2,"1,891.76"
A02,MOVIMIENTO DE TIERRAS/ TERRACERÍAS,,
A0201,EXCAVACIONES,,
UEC.ED.12.105.1020,"Excavación manual en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,10.00
UEC.ED.12.110.1050,"Excavación con equipo en caja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en caja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,"1,590.41"
A0202,CARGAS Y ACARREOS,,
UEC.ED.14.115.1060,"Acarreo en carretilla de material producto de excavación a una distancia máxima de 100 m. Incluye: carga, transporte y descarga.",m3,13.00
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,"2,080.53"
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"10,402.65"
A0203,AFINES Y COMPACTACIONES,,
UEC.ED.12.135.1050,"Compactación de terreno natural al 90% de su P.V.S.M., por medios mecánicos, incluye: incorporación de agua.",m2,"1,891.76"
A0204,RELLENOS,,
UEC.UB.10.100.1010,"Capa Subyacente, con material procedente de banco, compactada al 90 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·01·009/16.",m3,378.35
UEC.UB.10.100.1055,"Capa Subrasante, con material procedente de banco, compactada al 95 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·01·009/16.",m3,378.35
UEC.UB.10.100.1110,"Capa Subbase Hidráulica, procedente de banco, compactada al 95 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·04·002/11.",m3,378.35
UEC.UB.10.100.1155,"Capa Base Hidráulica, con material producto de la trituración de roca sana, procedente de banco, compactada al 100 % de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar, de acuerdo a norma N·CTR·CAR·1·04·002/11.",m3,283.76
A03,ALBAÑILERIA/CONSTRUCTIVO,,
A0301,CARPETAS ASFÁLTICAS Y RIEGOS,,
UEC.IV.16.115.1010,"Riego de impregnación con emulsiones asfálticas ECI-60 a razón de 1.5 lts/m2, por unidad de obra terminada. N·CTR·CAR·1·04·004/15",m2,"1,891.76"
UEC.IV.16.115.1015,"Arena para proteger el riego de impregnación, por unidad de obra terminada. N·CTR·CAR·1·04·004/15",m3,18.92
A0302,FIRMES Y PISOS VEHICULARES,,
UEC.UB.10.103.1050,"Cimbra metálica para banquetas y losas. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,32.29
UEC.UB.10.140.1110,"Canastilla pasajuntas prefabricada a base de acero redondo liso de 19 mm de diámetro y 41 cm de longitud, con una separación de 30 cm entre barras, elementos verticales a base de acero de refuerzo del no 2.5 (5/16"") a cada 30 cm, elementos horizontales a base de acero de refuerzo del no 2.5 (5/16""), para losa de 13 a 15 cm de espesor. Incluye: dimensionamiento, presentación, punteo, soldadura y limpieza.",m,36.00
UEC.UB.10.140.1010,"Pasajunta a base de varilla de acero del No. 4 (1/2""). Incluye: dimensionamiento y corte.",kg,761.18
UEC.UB.10.115.1070,"Losa de concreto hidráulico con MR = 38 kg/cm², tiro directo, revenimiento 10 ± 2.5 cm, tamaño máximo de agregado 38 mm, resistencia normal. Incluye: colado, vibrado, curado y limpieza. N.CTR.CAR.1.04.009/20.",m3,226.05
UEC.UB.10.200.1010,"Acabado escobillado sobre concreto hidráulico. Incluye: trazo, delimitación de la superficie y limpieza.",m2,"1,507.01"
UEC.UB.10.150.1025,"Corte con disco de 3 a 5 cm de profundidad en pavimento de concreto hidráulico. Incluye: trazo, guía y limpieza.",m,416.00
UEC.UB.10.160.1110,"Junta sobre pavimento, a base de placa de poliestireno de alta densidad de 1/2"" de espesor, incluye: trazo y limpieza de la superficie.",m2,9.32
UEC.UB.10.160.1010,"Junta en concreto con cinta de respaldo a base de espuma de polietileno, de primera calidad, de 10 mm de diámetro. Incluye: preparación de la superficie, dimensionamiento, cortes, fijación y limpieza.",m,"1,200.20"
UEC.UB.10.160.1050,"Sellado de juntas a base de sellador de poliuretano de alto desempeño, autonivelante, de un solo componente, de primera calidad. Incluye: preparación de la superficie y limpieza.",cm3,"72,012.00"
UEC.UB.10.110.1010,"Guardalosa en la orilla del pavimento y banquetas con sección de 0.15 x 0.40 m de concreto hidráulico normal de f´c=200 kg/cm2, colada en el lugar por unidad de obra terminada. N-CTR-CAR-1-02-010/00.",m,43.60
A0303,GUARNICIONES Y BANQUETAS,,
UEC.UB.10.103.1055,"Cimbra metálica para guarniciones. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,264.73
UEC.UB.10.110.1210,"Guarnición semi-integral elaborada a base de concreto premezclado f'c= 200 kg/cm2, tma 19 mm (3/4""), acabado aparente. Incluye: trazo, colado, vibrado, curado y limpieza. N·CTR·CAR·1·02·010/00",m3,51.29
A04,ACABADOS,,
A0401,LIMPIEZA,,
UEC.ED.100.115.1015,"Limpieza para entrega final de obra, al banco autorizado que elija el contratista. Incluye: retiro de material. N-CTR-CAR-1-01-013/00.",m2,"1,763.71"
B,AGUA POTABLE,,
B01,PRELIMINARES,,
B0101,TRAZO Y NIVELACION,,
